Date,TempMean,TempMin,TempMax,Radiation,Precipitation,VapPressure,Windspeed
2000-01-01,1.1,-4.3,2.2,1586,2.6,0.43,2.1
2000-01-02,3.6,1.5,4.3,1599,0.0,0.66,2.3
2000-01-03,5.6,3.1,6.6,1613,0.1,0.74,3.2
2000-01-04,5.0,3.7,6.1,1628,3.5,0.76,3.3
2000-01-05,2.7,0.3,6.6,3797,0.0,0.61,3.1
2000-01-06,1.8,-2.4,4.8,4493,0.9,0.5,2.7
2000-01-07,4.3,1.7,7.4,2125,0.0,0.67,2.3
2000-01-08,4.1,-0.2,5.8,3316,0.8,0.59,2.9
2000-01-09,4.2,2.5,5.5,1719,0.0,0.7,1.7
2000-01-10,1.5,-0.6,3.7,1741,0.0,0.57,1.7
2000-01-11,-0.7,-3.2,2.9,3743,0.0,0.47,2.2
2000-01-12,-1.4,-4.1,2.3,4760,0.0,0.44,2.7
2000-01-13,-3.7,-5.9,-0.2,5047,0.0,0.38,2.6
2000-01-14,-1.0,-6.1,-0.2,1838,0.0,0.38,1.5
2000-01-15,-1.5,-3.2,-0.1,1865,0.2,0.46,1.6
2000-01-16,2.3,-3.4,4.2,1893,2.0,0.47,2.5
2000-01-17,7.0,3.5,7.8,1923,3.0,0.76,5.4
2000-01-18,3.3,0.6,7.6,3086,2.6,0.63,5.4
2000-01-19,0.1,-1.5,3.4,4773,0.4,0.53,2.8
2000-01-20,3.5,-2.4,4.4,2017,8.5,0.51,4.1
2000-01-21,-2.7,-5.1,4.5,4239,0.9,0.42,4.2
2000-01-22,-3.6,-5.4,-1.8,2086,2.4,0.39,2.6
2000-01-23,-6.3,-10.2,-4.0,6077,0.2,0.28,2.1
2000-01-24,-6.4,-8.7,-2.5,3370,0.0,0.31,1.4
2000-01-25,-5.0,-11.3,-2.0,2623,0.1,0.26,1.9
2000-01-26,1.4,-5.1,2.7,2236,0.7,0.41,2.8
2000-01-27,2.1,0.9,3.2,2277,0.1,0.63,3.4
2000-01-28,1.8,0.3,2.5,2318,1.4,0.6,4.2
2000-01-29,5.1,-0.6,7.7,2361,10.8,0.58,6.5
2000-01-30,4.7,0.8,7.4,4948,4.0,0.64,5.8
2000-01-31,7.9,2.5,10.5,4852,2.0,0.72,5.9
2000-02-01,8.3,5.6,10.3,2495,1.9,0.89,3.6
2000-02-02,6.2,5.0,8.3,2542,7.4,0.85,3.8
2000-02-03,3.5,1.1,6.9,4133,0.3,0.65,3.9
2000-02-04,5.5,-0.3,7.8,3120,2.6,0.59,3.9
2000-02-05,6.9,5.4,8.6,2689,0.0,0.87,3.5
2000-02-06,7.7,4.8,13.5,5757,0.0,0.85,2.7
