Date,TempMean,TempMin,TempMax,Radiation,Precipitation,VapPressure,Windspeed
2000-01-01,0.2,-2.7,0.7,1498,2.1,0.48,2.1
2000-01-02,4.2,0.5,5.1,1511,0.0,0.61,2.3
2000-01-03,6.8,4.8,7.5,1524,0.7,0.83,3.2
2000-01-04,5.0,4.1,7.3,1667,3.0,0.79,3.3
2000-01-05,2.1,-0.3,6.2,3404,0.0,0.59,3.1
2000-01-06,1.7,-2.2,4.4,4041,0.7,0.51,2.7
2000-01-07,4.8,2.1,6.2,1590,0.0,0.69,2.3
2000-01-08,3.6,-0.1,4.9,2446,0.3,0.59,2.9
2000-01-09,2.2,0.4,5.3,1630,0.0,0.61,1.7
2000-01-10,1.4,-1.2,2.3,1651,0.0,0.54,1.7
2000-01-11,0.0,-1.9,3.0,3616,0.0,0.52,2.2
2000-01-12,-1.3,-3.1,0.5,2791,0.0,0.47,2.7
2000-01-13,-2.5,-5.3,0.5,4483,0.0,0.4,2.6
2000-01-14,-1.8,-3.9,-1.0,1748,0.0,0.44,1.5
2000-01-15,-0.8,-3.2,0.6,1774,0.4,0.46,1.6
2000-01-16,3.0,-3.6,4.7,1802,0.4,0.46,2.5
2000-01-17,7.1,4.5,7.8,1831,5.3,0.82,5.4
2000-01-18,3.2,1.5,7.0,3510,0.4,0.66,5.4
2000-01-19,0.8,0.0,3.0,4490,0.3,0.59,2.8
2000-01-20,4.0,-1.6,5.1,1925,9.4,0.53,4.1
2000-01-21,-2.9,-5.9,4.7,5267,1.1,0.4,4.2
2000-01-22,-3.7,-5.9,-1.6,1993,1.3,0.38,2.6
2000-01-23,-5.1,-10.1,-1.2,5621,0.0,0.28,2.1
2000-01-24,-6.0,-9.1,-1.8,5649,0.0,0.3,1.4
2000-01-25,-5.6,-13.5,-1.9,2157,0.0,0.22,1.9
2000-01-26,2.4,-3.7,3.6,2143,0.1,0.46,2.8
2000-01-27,2.2,1.9,4.3,2183,0.1,0.67,3.4
2000-01-28,1.7,0.7,2.4,2225,1.2,0.62,4.2
2000-01-29,4.5,0.2,7.2,2267,11.0,0.61,6.5
2000-01-30,4.2,2.8,6.0,5050,7.2,0.72,5.8
2000-01-31,6.0,2.3,9.0,5016,2.7,0.71,5.9
2000-02-01,8.3,4.0,9.2,2401,3.6,0.79,3.6
2000-02-02,6.4,5.2,8.5,2854,0.9,0.86,3.8
2000-02-03,2.1,-0.9,6.3,4789,0.2,0.56,3.9
2000-02-04,5.7,-1.9,8.0,2604,1.0,0.54,3.9
2000-02-05,7.1,6.0,8.7,2595,0.0,0.9,3.5
2000-02-06,7.5,3.2,10.4,4417,0.3,0.75,2.7
2000-02-07,6.7,5.5,9.5,4059,2.9,0.88,4.3
2000-02-08,7.1,5.6,8.4,3252,6.4,0.88,5.5
2000-02-09,4.3,2.5,8.7,2932,6.2,0.71,5.9
2000-02-10,5.7,4.7,8.3,4210,4.0,0.83,4.0
2000-02-11,3.8,1.5,8.0,5585,0.0,0.67,2.7
2000-02-12,2.7,-1.1,7.5,8378,0.5,0.56,3.4
2000-02-13,2.4,0.6,4.9,3833,4.6,0.62,3.9
2000-02-14,2.0,-0.7,5.3,5592,0.3,0.57,2.9
2000-02-15,4.5,-1.7,8.3,4246,0.4,0.55,3.2
2000-02-16,1.9,1.2,4.9,3212,4.1,0.64,3.9
2000-02-17,0.7,-0.4,2.5,5168,0.2,0.57,2.9
2000-02-18,1.5,-0.6,5.6,5254,0.3,0.57,3.0
2000-02-19,2.1,1.1,3.3,3401,0.2,0.64,2.6
2000-02-20,0.3,-1.5,4.1,4630,0.0,0.53,2.5
2000-02-21,-1.8,-3.6,2.2,7801,0.0,0.46,1.4
2000-02-22,-0.5,-5.0,1.8,3598,0.1,0.41,1.7
2000-02-23,0.9,0.0,2.9,3665,2.2,0.59,1.5
2000-02-24,2.7,-1.4,6.3,3733,1.2,0.54,3.2
2000-02-25,3.5,1.7,5.4,4959,0.0,0.67,3.4
2000-02-26,4.3,3.0,5.9,4027,0.0,0.73,2.1
2000-02-27,5.1,-1.2,9.4,10412,0.0,0.57,2.7
2000-02-28,9.5,5.5,16.9,9519,3.0,0.92,4.4
2000-02-29,5.6,2.4,9.4,7151,1.2,0.71,4.0
2000-03-01,5.3,3.1,7.7,6115,0.0,0.74,4.1
2000-03-02,3.6,1.8,5.5,8436,8.6,0.67,4.3
2000-03-03,4.4,2.2,8.1,4637,4.5,0.7,6.1
2000-03-04,1.0,0.1,4.3,6315,0.9,0.59,4.6
2000-03-05,1.5,-0.3,4.1,7858,0.4,0.58,3.7
2000-03-06,6.2,0.6,8.6,5130,0.0,0.63,3.9
2000-03-07,8.9,6.3,11.1,4604,3.4,0.92,4.8
2000-03-08,10.0,7.4,10.9,4680,6.3,0.99,5.4
2000-03-09,6.0,3.9,11.2,4846,5.7,0.79,5.8
2000-03-10,1.8,-0.3,6.0,10921,2.0,0.58,3.0
2000-03-11,4.4,0.9,8.8,5454,5.8,0.64,4.8
2000-03-12,2.2,-2.1,5.6,8822,0.2,0.52,1.7
2000-03-13,8.0,3.1,10.6,5805,2.2,0.76,2.0
2000-03-14,6.4,3.8,9.9,5147,9.5,0.78,3.9
2000-03-15,3.2,1.9,5.2,9166,3.2,0.67,4.8
2000-03-16,3.0,0.8,5.3,6915,4.3,0.63,3.9
2000-03-17,3.2,0.6,6.4,10350,0.0,0.62,3.4
2000-03-18,2.2,-2.0,8.5,13363,0.0,0.53,2.0
2000-03-19,3.8,-0.8,9.0,14870,0.0,0.58,2.3
2000-03-20,6.0,2.6,7.8,5625,0.0,0.72,2.1
2000-03-21,4.9,2.2,12.1,8965,0.0,0.72,1.6
2000-03-22,4.4,0.3,11.1,8673,0.0,0.63,1.6
2000-03-23,2.3,-1.1,10.1,13895,0.0,0.58,1.5
2000-03-24,6.5,-2.0,11.1,12420,0.1,0.55,2.7
2000-03-25,7.0,4.3,12.1,6130,0.5,0.82,2.1
2000-03-26,6.3,3.0,15.0,8162,0.2,0.78,2.0
2000-03-27,4.6,2.8,6.5,6189,4.1,0.72,1.9
2000-03-28,4.6,3.7,6.6,6269,1.6,0.77,3.0
2000-03-29,6.8,4.0,8.7,6350,0.0,0.78,3.8
2000-03-30,6.4,5.5,7.6,6430,2.8,0.87,3.7
2000-03-31,5.3,4.7,6.2,6510,0.8,0.82,1.9
2000-04-01,6.2,3.8,8.6,6911,0.0,0.78,1.5
2000-04-02,6.2,3.2,12.5,13890,0.1,0.77,1.8
2000-04-03,10.6,1.1,17.6,19114,0.0,0.72,2.6
2000-04-04,8.4,4.0,11.1,6828,0.1,0.8,2.2
2000-04-05,4.7,3.2,8.0,9872,0.0,0.75,3.2
2000-04-06,5.6,0.2,9.5,19578,0.0,0.62,2.8
2000-04-07,5.6,3.5,10.1,8842,0.0,0.77,2.5
2000-04-08,5.2,-1.6,7.7,7142,0.0,0.54,1.5
2000-04-09,3.3,-1.9,8.6,19242,0.0,0.54,2.6
2000-04-10,4.8,-2.6,10.1,16221,0.0,0.52,2.0
2000-04-11,5.2,-1.2,12.0,12710,0.0,0.58,1.8
2000-04-12,6.3,-1.1,11.7,8819,4.0,0.58,2.9
2000-04-13,7.0,0.5,11.5,11655,0.4,0.65,3.5
2000-04-14,7.7,5.5,10.7,11404,0.0,0.88,2.6
2000-04-15,10.3,0.5,18.4,11149,18.0,0.7,2.4
2000-04-16,7.3,4.1,12.8,15429,0.0,0.82,2.7
2000-04-17,14.2,2.7,21.7,14836,0.0,0.83,2.8
2000-04-18,12.0,9.2,17.6,15292,0.0,1.16,1.9
2000-04-19,14.3,9.4,19.3,13273,0.8,1.18,1.7
2000-04-20,13.6,9.6,20.5,18931,0.0,1.21,1.5
2000-04-21,16.4,7.3,23.9,21186,0.0,1.1,1.9
2000-04-22,18.3,10.0,24.3,20233,0.0,1.28,2.1
2000-04-23,20.4,14.7,28.6,21786,0.0,1.73,1.9
2000-04-24,14.7,12.2,23.2,21063,0.2,1.43,2.6
2000-04-25,11.6,9.8,12.7,8384,0.0,1.17,1.7
2000-04-26,15.4,10.7,20.6,16928,0.0,1.28,2.3
2000-04-27,20.5,11.7,26.1,21882,0.0,1.43,2.2
2000-04-28,20.7,16.3,25.9,17968,0.0,1.84,2.8
2000-04-29,20.6,15.6,28.4,23198,0.0,1.81,2.3
2000-04-30,19.2,11.9,29.0,21466,7.6,1.48,1.4
2000-05-01,20.2,12.8,26.9,21935,0.4,1.53,1.8
2000-05-02,15.5,11.5,22.1,24131,0.0,1.37,2.3
2000-05-03,13.5,6.4,21.1,23986,0.0,1.0,1.7
2000-05-04,15.5,5.3,22.6,25078,0.0,0.96,1.5
2000-05-05,15.4,6.8,23.6,25550,0.0,1.07,1.9
2000-05-06,15.7,6.1,23.4,25773,0.0,1.03,2.2
2000-05-07,17.6,8.4,25.0,25744,0.0,1.17,2.3
2000-05-08,19.0,9.5,26.5,25837,0.0,1.28,1.9
2000-05-09,19.0,10.2,25.1,25050,0.0,1.31,1.4
2000-05-10,18.2,11.1,25.0,20232,0.1,1.37,1.3
2000-05-11,18.2,12.5,25.8,26103,0.0,1.5,1.9
2000-05-12,13.6,9.8,19.2,26312,0.0,1.2,2.6
2000-05-13,14.2,5.0,22.4,26394,0.0,0.95,1.8
2000-05-14,17.6,6.1,26.6,26473,0.0,1.06,1.5
2000-05-15,19.7,8.8,28.7,26549,0.0,1.27,1.3
2000-05-16,20.7,10.9,29.7,24844,0.0,1.42,1.5
2000-05-17,19.9,11.9,30.7,23131,0.0,1.54,2.6
2000-05-18,13.4,9.0,19.1,14144,0.1,1.16,2.3
2000-05-19,13.1,5.8,17.6,19172,1.2,0.94,2.4
2000-05-20,10.7,6.6,16.1,10918,4.8,0.97,2.2
